dataset,embedding,holdout_cell_type,method_name,method_role,score_method,score_family,known_accuracy_mean,known_accuracy_std,unknown_auroc_mean,unknown_auroc_std,unknown_auprc_mean,unknown_auprc_std,fpr_at_95_tpr_mean,fpr_at_95_tpr_std,known_coverage_at_val95_mean,known_coverage_at_val95_std,unknown_recall_at_val95_mean,unknown_recall_at_val95_std,accepted_known_accuracy_at_val95_mean,accepted_known_accuracy_at_val95_std,known_coverage_at_val90_mean,known_coverage_at_val90_std,unknown_recall_at_val90_mean,unknown_recall_at_val90_std,accepted_known_accuracy_at_val90_mean,accepted_known_accuracy_at_val90_std,known_coverage_at_val80_mean,known_coverage_at_val80_std,unknown_recall_at_val80_mean,unknown_recall_at_val80_std,accepted_known_accuracy_at_val80_mean,accepted_known_accuracy_at_val80_std,n_split_seeds,delta_unknown_auroc_mean_vs_mlp_maxprob,delta_unknown_auprc_mean_vs_mlp_maxprob,delta_unknown_recall_at_val95_mean_vs_mlp_maxprob,delta_unknown_auroc_mean_vs_raw_prototype,delta_unknown_auprc_mean_vs_raw_prototype,delta_unknown_recall_at_val95_mean_vs_raw_prototype
zheng68k,zheng68k_pca50.npy,CD19+ B,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6710264900662252,0.007555367025897096,0.6334003892805431,0.03970744844962011,0.37962675805564566,0.030826330123022872,0.7324503311258278,0.038666118850807646,0.9475165562913908,0.00994411713274511,0.0480286738351254,0.010248013229746082,0.6922971825654035,0.008490217411622734,0.8947019867549668,0.006886302762611009,0.11290322580645158,0.025439192771645865,0.7090838004020316,0.009381077509615792,0.7951986754966888,0.021599457294437643,0.29283154121863797,0.06985340328825289,0.7441511202546409,0.0066380503017983055,5,0.0,0.0,0.0,-0.1004643475990411,-0.18100663885559082,-0.21362007168458777
zheng68k,zheng68k_pca50.npy,CD19+ B,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5256622516556291,0.012744043309884686,0.7338647368795842,0.03861847663673882,0.5606333969112365,0.053696570734624596,0.7622516556291391,0.04289245922814152,0.9465231788079469,0.00904176650391595,0.2616487455197132,0.069362016058651,0.5343399570716836,0.013842572517689654,0.8996688741721854,0.018093004297963226,0.36917562724014336,0.06723416301901101,0.5422903420829264,0.014525776898093742,0.7925496688741722,0.00977031630716596,0.5261648745519713,0.07128697974434317,0.5571736684421225,0.01702237522857897,5,0.1004643475990411,0.18100663885559082,0.21362007168458777,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,CD19+ B,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5256622516556291,0.012744043309884686,0.8115282821809204,0.00800811933007542,0.6395030621913045,0.01722060993481733,0.6799668874172186,0.01051357093930896,0.9549668874172184,0.0073949375609692605,0.2551971326164874,0.054660967134618856,0.5503175409402247,0.01451243254005051,0.9056291390728477,0.017314983992840958,0.5354838709677419,0.08293638840415372,0.5757362206273697,0.018727532478328205,0.8064569536423841,0.015291059455654036,0.6924731182795699,0.022583489608635626,0.6039357917802859,0.017287238830907235,5,0.17812789290037734,0.2598763041356588,0.207168458781362,0.07766354530133623,0.078869665280068,-0.006451612903225767
zheng68k,zheng68k_pca50.npy,CD19+ B,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6230132450331125,0.014404924989507443,0.8250777374255263,0.006439052917776,0.7567203664873116,0.009959068940006064,0.7743377483443709,0.010529853388183982,0.9501655629139073,0.00913226183478251,0.5222222222222223,0.015857936778228623,0.6224385979555854,0.016131537844333372,0.9057947019867549,0.013519000171679042,0.632616487455197,0.011334328531069462,0.6204623347505487,0.018708243239518793,0.8023178807947019,0.017378191993106078,0.7211469534050179,0.004125757861369661,0.6202632773723056,0.022560562746818384,5,0.19167734814498316,0.3770936084316659,0.4741935483870969,0.09121300054594206,0.19608696957607508,0.2605734767025091
zheng68k,zheng68k_pca50.npy,CD56+ NK,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6583115752828547,0.009015292715459375,0.15905007361516252,0.051314757904607704,0.2765261072554711,0.008698145375445722,0.9747606614447346,0.011480335907983346,0.944473455178416,0.016029054041039294,0.00117233294255564,0.00117233294255565,0.676536290616097,0.008275438209387524,0.8962576153176676,0.01698131858121056,0.0025791324736224802,0.002673330422272289,0.6931169995781601,0.010324456539137472,0.8080069625761531,0.030994951958289062,0.0058616647127784,0.00591999117137282,0.7238327853109385,0.013086734490095163,5,0.0,0.0,0.0,-0.5514798025093435,-0.3368011220820438,-0.16107854630715127
zheng68k,zheng68k_pca50.npy,CD56+ NK,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5185378590078329,0.012796989574038504,0.710529876124506,0.018123702201529302,0.6133272293375149,0.027709015040891898,0.7115752828546562,0.010758250402341138,0.9486510008703221,0.00753720978054337,0.1622508792497069,0.030532465663272654,0.5259715954248755,0.013485283789830866,0.9000870322019147,0.013984858943606302,0.27198124267291907,0.030197530767623104,0.5354626063552038,0.012034897128526767,0.7876414273281114,0.016604685838415078,0.44032825322391556,0.05207718812973272,0.5546634559315383,0.010649358644386315,5,0.5514798025093435,0.3368011220820438,0.16107854630715127,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,CD56+ NK,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5185378590078329,0.012796989574038504,0.7043219191569814,0.007256326863010308,0.6491767938999699,0.01834272215610921,0.7867711053089643,0.015665796344647497,0.9514360313315926,0.014279647903912054,0.2096131301289566,0.03678772554697819,0.5439237695379875,0.011137416809519119,0.8997389033942559,0.018229039605620445,0.40164126611957796,0.024918625440447862,0.5703442858106967,0.009581047665966241,0.793733681462141,0.020289892474977807,0.49237983587338807,0.01704928437543841,0.6147463766520016,0.010095698349674822,5,0.5452718455418188,0.37265068664449874,0.20844079718640096,-0.0062079569675246304,0.035849564562454916,0.047362250879249695
zheng68k,zheng68k_pca50.npy,CD56+ NK,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6005221932114883,0.015385265038871781,0.8027621755805804,0.006144256735542958,0.754614269870552,0.012740752457368094,0.6764142732811139,0.011050005394676326,0.9483028720626632,0.013631032253395474,0.3498241500586166,0.024627364176769348,0.6023382229919714,0.013078309489269638,0.8978241949521323,0.012131552210062931,0.49753810082063304,0.012143694408045568,0.5997664279282791,0.012032792738099617,0.8008703220191471,0.025099398973463385,0.6438452520515827,0.01681388662537614,0.6026620333439221,0.012319650368326454,5,0.6437121019654178,0.4780881626150809,0.34865181711606097,0.09223229945607436,0.1412870405330371,0.1875732708089097
zheng68k,zheng68k_pca50.npy,Dendritic,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6746291959406714,0.008522931499738458,0.48584425827116384,0.039565717354053835,0.19429867774549164,0.05707292509691311,0.9275565964090555,0.01933877372347395,0.955503512880562,0.011631275898322625,0.12268041237113399,0.06514044605948092,0.6915632384007429,0.011311311416079682,0.9049180327868853,0.009614875402155958,0.16907216494845356,0.070620437931147,0.7098654731518433,0.011187860490573921,0.8140515222482435,0.011895480186604496,0.2608247422680412,0.061164523604912674,0.7431282603595127,0.011494007248349172,5,0.0,0.0,0.0,0.24507150502587388,0.1125930225370094,0.11649484536082474
zheng68k,zheng68k_pca50.npy,Dendritic,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5478532396565183,0.007372814334499599,0.24077275324528996,0.016424080713714182,0.08170565520848225,0.0014585052191532324,0.985167837626854,0.0021378710285134433,0.9530054644808743,0.011959345566602584,0.00618556701030924,0.0043126805491446926,0.55939514157234,0.011171426476354572,0.9072599531615925,0.013771164447275578,0.00824742268041232,0.0028233121520884674,0.5673248178421388,0.012023749912729028,0.804527712724434,0.01961411715088954,0.023711340206185517,0.011866870549712746,0.5898136023450122,0.017207705131810743,5,-0.24507150502587388,-0.1125930225370094,-0.11649484536082474,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,Dendritic,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5478532396565183,0.007372814334499599,0.7982954682633574,0.012752769480761508,0.37775015851541643,0.07878960634729257,0.750663544106167,0.03763948466586518,0.9495706479313037,0.008436693886717375,0.2587628865979381,0.12107368534678381,0.5745511016355922,0.012350989511319261,0.9061670569867291,0.012273688685110742,0.411340206185567,0.09430313405487091,0.5946312070327359,0.011749406875050139,0.8,0.023114067304123277,0.6762886597938145,0.03465512642056001,0.6243072847814537,0.013544171918360213,5,0.31245120999219356,0.1834514807699248,0.13608247422680414,0.5575227150180675,0.2960445033069342,0.25257731958762886
zheng68k,zheng68k_pca50.npy,Dendritic,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6263856362217017,0.003926549989058355,0.7857927521185929,0.009243480454581345,0.503014185325575,0.016601949373254057,0.843871975019516,0.021885785743756676,0.9397345823575332,0.009127148729470198,0.4577319587628866,0.03597184808735647,0.6289952272444461,0.002612075071475389,0.8896174863387978,0.01549133073736731,0.5268041237113402,0.03812342698371257,0.6293161223315222,0.0032116136708261944,0.8001561280249805,0.024998773554419887,0.6319587628865979,0.02322449551766763,0.62866666457993,0.004274470426110562,5,0.29994849384742905,0.3087155075800833,0.3350515463917526,0.5450199988733029,0.4213085301170927,0.4515463917525773
zheng68k,zheng68k_pca50.npy,Average across holdouts,MLP max probability,closed-set confidence baseline,mlp_maxprob,mlp,0.6679890870965837,0.008364530413698308,0.42609824038895655,0.04352930790276055,0.28348384768553614,0.032199133531793905,0.878255862993206,0.023161742827421648,0.9491645081167895,0.012534815690702342,0.05729380638293834,0.025520264077260883,0.6867989038607479,0.009358989012363313,0.8986258782865066,0.011160832248659177,0.09485150774284255,0.032910987041688385,0.7040220910440116,0.010297798179775728,0.8057523867736952,0.0214966298131104,0.18650598273315253,0.04564597268817946,0.7370373886416974,0.010406264013414214,5,0.0,0.0,0.0,-0.13562421502750358,-0.13507157946687506,-0.08606792421030478
zheng68k,zheng68k_pca50.npy,Average across holdouts,Raw prototype distance,uncalibrated prototype baseline,proto_1_minus_max_cosine,prototype,0.5306844501066601,0.01097128240614093,0.56172245541646,0.0243887531839941,0.41855542715241123,0.027621363664889906,0.8196649253702164,0.0185961935529987,0.9493932147197145,0.009512773950353968,0.14336173059324311,0.03473572075702278,0.5399022313562997,0.012833094261291698,0.9023386198452309,0.015283009229615035,0.21646809753115825,0.03341833531290753,0.5483592554267563,0.012861474646449845,0.7949062696422392,0.01532970643215686,0.3300681559940241,0.04507701280792955,0.5672169089062243,0.014959813001592012,5,0.13562421502750358,0.13507157946687506,0.08606792421030478,0.0,0.0,0.0
zheng68k,zheng68k_pca50.npy,Average across holdouts,CalibscAnno-v0 (class-z prototype),main method,proto_class_z,prototype,0.5306844501066601,0.01097128240614093,0.7713818898670864,0.009339071891282412,0.5554766715355636,0.03811764614607304,0.7391338456107833,0.021272950649940548,0.9519911888933716,0.010037093117199563,0.24119104978112738,0.07084079267612696,0.5562641373712681,0.012666946286962964,0.9038450331512776,0.01593923742785738,0.4494884477576289,0.06738604929982417,0.5802372378236008,0.013352662339781529,0.8000635450348416,0.01956500641158504,0.6203805379822575,0.02476263346821135,0.6143298177379137,0.013642369699647425,5,0.3452836494781299,0.2719928238500275,0.18389724339818905,0.20965943445062638,0.13692124438315237,0.09782931918788425
zheng68k,zheng68k_pca50.npy,Average across holdouts,Diagonal Mahalanobis,strong statistical-distance baseline,mahalanobis_diag_min,mahalanobis,0.6166403581554342,0.01123891333914586,0.8045442217082331,0.0072755967026334354,0.6714496072278129,0.013100590256876071,0.7648746655483336,0.014488548175538995,0.9460676724447014,0.010630147605882725,0.4432594436812418,0.02548571634745148,0.617924016064001,0.010607307468359466,0.8977454610925616,0.013713961039703093,0.5523195706623901,0.020533816640942535,0.6165149616701167,0.011317549882814868,0.8011147769462766,0.02249212150699645,0.6656503227810662,0.014721380001471144,0.6171973250987192,0.013051561180418466,5,0.37844598131927665,0.38796575954227674,0.3859656372983034,0.2428217662917731,0.2528941800754016,0.29989771308799873
